ITB_No,Ln_ITM_ID,Cost_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5,CMS_Generated_No,Vendor_Name,Reimbursement_Type,Cost_Type,Activity,Activity_Name,Cost_ID_Description,Cost_Element_Category_Ref,Invoice_number,UploadCheck_RFP_RFQ_GateForm,ValueOf_RFP_RFQ_GateForm,Submitted_ACWP,Submitted_OH,Submitted_Profit,Submitted_ACWP_w_Fee,Certified_Without_Fee,Unauthorized_WO_Fee,Deauthorization_category,Certified Amount,Certified Overhead,Certified Profit,Certified_Amount_W_Fee
ITB_SAN_03,,COST_000044,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000751,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000044,,,,,174.61,28.38,22.97,232.30,,,,,,,
ITB_SAN_03,,COST_000006,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000752,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000006,,CA57LLKRCFEI,,,390.74,59.87,54.71,535.28,,,,,,,
ITB_SAN_03,,COST_000043,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000753,,,Direct,ACT_000001,ACTN_000004,DESC_COST_000043,,CA5BMPBUYYI,,,436.52,65.57,52.83,543.54,,,,,,,
ITB_SAN_03,,COST_000029,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000754,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000029,,ONETB210788A,,,351.41,53.69,45.88,461.88,,,,,,,
ITB_SAN_03,,COST_000037,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000755,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000037,,CA5H4IVJTUI/ CA52IQ3NXQMI,,,42.16,6.88,6.05,56.49,,,,,,,
ITB_SAN_03,,COST_000038,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000756,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000038,,CA522NV5URII,,,45.72,6.57,6.20,60.26,,,,,,,
ITB_SAN_03,,COST_000002,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000757,,,Direct,ACT_000001,ACTN_000005,DESC_COST_000002,,CA522MV5URII,,,"1,529.74",240.46,202.85,"2,140.42",,,,,,,
ITB_SAN_03,,COST_000035,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000762,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000035,,7111376-00,,,52.64,8.04,6.81,67.91,,,,,,,
ITB_SAN_03,,COST_000010,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000763,,,Direct,ACT_000001,ACTN_000005,DESC_COST_000010,,CA54YXMSZNYI,,,106.23,16.47,14.57,145.21,,,,,,,
ITB_SAN_03,,COST_000067,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000764,,,Direct,ACT_000001,ACTN_000005,DESC_COST_000067,,73030,,,82.52,12.04,11.04,104.60,,,,,,,
ITB_SAN_03,,COST_000040,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000006,CBS_000007,CBS_000005,ONX-EM-ERPC-0000770,,,Direct,ACT_000002,ACTN_000006,DESC_COST_000040,,,,,516.76,78.13,72.92,678.50,,,,,,,
ITB_SAN_03,,COST_000052,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000008,CBS_000009,CBS_000005,ONX-EM-ERPC-0000788,,,Direct,ACT_000003,ACTN_000007,DESC_COST_000052,,R3331083-2/ R3331084-1,,,"9,340.89","1,407.54","1,264.90","12,187.73",,,,,,,
ITB_SAN_03,,COST_000034,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000008,CBS_000009,CBS_000005,ONX-EM-ERPC-0000789,,,Direct,ACT_000003,ACTN_000007,DESC_COST_000034,,1000398962,,,"9,648.87","1,474.15","1,296.23","12,018.88",,,,,,,
ITB_SAN_03,,COST_000066,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000010,CBS_000005,ONX-EM-ERPC-0000793,,,Direct,ACT_000004,ACTN_000006,DESC_COST_000066,,514422474/ 514425775,,,"10,370.39","1,615.33","1,401.21","12,818.44",,,,,,,
ITB_SAN_03,,COST_000036,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000011,CBS_000012,CBS_000005,ONX-EM-ERPC-0000794,,,Direct,ACT_000005,ACTN_000006,DESC_COST_000036,,Relocation_Invoice 1001,,,795.27,118.58,106.06,994.30,,,,,,,
ITB_SAN_03,,COST_000051,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000013,CBS_000014,CBS_000005,ONX-EM-ERPC-0000795,,,Direct,ACT_000006,ACTN_000006,DESC_COST_000051,,Relocation_Invoice 1001,,,"9,408.45","1,410.00","1,241.35","12,132.32",,,,,,,
